# Memristor Strukov (2008) — Simulación numérica
# Generado: 2026-05-18T21:20:17.519648
# scenario: fig2b_unity
time_s,voltage_V,current_A,current_mA,resistance_Ohm,state_variable_x,memristance_Ohm
1.230000e-02,3.863197e-02,2.681346e-06,2.681346e-03,14407.6399,0.100148,14407.6399
1.240000e-02,3.894590e-02,2.703142e-06,2.703142e-03,14407.6015,0.100151,14407.6015
1.250000e-02,3.925982e-02,2.724938e-06,2.724938e-03,14407.5629,0.100153,14407.5629
1.260000e-02,3.957373e-02,2.746733e-06,2.746733e-03,14407.5238,0.100156,14407.5238
1.270000e-02,3.988764e-02,2.768529e-06,2.768529e-03,14407.4845,0.100158,14407.4845
1.280000e-02,4.020155e-02,2.790324e-06,2.790324e-03,14407.4449,0.100161,14407.4449
1.290000e-02,4.051545e-02,2.812119e-06,2.812119e-03,14407.4050,0.100163,14407.4050
1.300000e-02,4.082935e-02,2.833914e-06,2.833914e-03,14407.3647,0.100166,14407.3647
1.310000e-02,4.114325e-02,2.855709e-06,2.855709e-03,14407.3242,0.100168,14407.3242
1.320000e-02,4.145714e-02,2.877504e-06,2.877504e-03,14407.2833,0.100171,14407.2833
1.330000e-02,4.177103e-02,2.899299e-06,2.899299e-03,14407.2422,0.100173,14407.2422
1.340000e-02,4.208491e-02,2.921094e-06,2.921094e-03,14407.2007,0.100176,14407.2007
1.350000e-02,4.239879e-02,2.942889e-06,2.942889e-03,14407.1589,0.100179,14407.1589
1.360000e-02,4.271266e-02,2.964683e-06,2.964683e-03,14407.1168,0.100181,14407.1168
1.370000e-02,4.302653e-02,2.986478e-06,2.986478e-03,14407.0744,0.100184,14407.0744
1.380000e-02,4.334040e-02,3.008272e-06,3.008272e-03,14407.0317,0.100187,14407.0317
1.390000e-02,4.365426e-02,3.030066e-06,3.030066e-03,14406.9886,0.100189,14406.9886
1.400000e-02,4.396812e-02,3.051860e-06,3.051860e-03,14406.9453,0.100192,14406.9453
1.410000e-02,4.428197e-02,3.073654e-06,3.073654e-03,14406.9016,0.100195,14406.9016
1.420000e-02,4.459582e-02,3.095448e-06,3.095448e-03,14406.8577,0.100198,14406.8577
1.430000e-02,4.490967e-02,3.117242e-06,3.117242e-03,14406.8134,0.100200,14406.8134
1.440000e-02,4.522351e-02,3.139036e-06,3.139036e-03,14406.7688,0.100203,14406.7688
1.450000e-02,4.553734e-02,3.160830e-06,3.160830e-03,14406.7240,0.100206,14406.7240
1.460000e-02,4.585117e-02,3.182623e-06,3.182623e-03,14406.6788,0.100209,14406.6788
1.470000e-02,4.616500e-02,3.204416e-06,3.204416e-03,14406.6333,0.100212,14406.6333
1.480000e-02,4.647882e-02,3.226210e-06,3.226210e-03,14406.5874,0.100215,14406.5874
1.490000e-02,4.679264e-02,3.248003e-06,3.248003e-03,14406.5413,0.100218,14406.5413
1.500000e-02,4.710645e-02,3.269796e-06,3.269796e-03,14406.4949,0.100220,14406.4949
1.510000e-02,4.742026e-02,3.291589e-06,3.291589e-03,14406.4481,0.100223,14406.4481
1.520000e-02,4.773406e-02,3.313382e-06,3.313382e-03,14406.4011,0.100226,14406.4011
1.530000e-02,4.804786e-02,3.335174e-06,3.335174e-03,14406.3537,0.100229,14406.3537
1.540000e-02,4.836166e-02,3.356967e-06,3.356967e-03,14406.3060,0.100232,14406.3060
1.550000e-02,4.867544e-02,3.378760e-06,3.378760e-03,14406.2580,0.100235,14406.2580
1.560000e-02,4.898923e-02,3.400552e-06,3.400552e-03,14406.2097,0.100238,14406.2097
1.570000e-02,4.930301e-02,3.422344e-06,3.422344e-03,14406.1611,0.100241,14406.1611
1.580000e-02,4.961678e-02,3.444136e-06,3.444136e-03,14406.1122,0.100245,14406.1122
1.590000e-02,4.993055e-02,3.465928e-06,3.465928e-03,14406.0630,0.100248,14406.0630
1.600000e-02,5.024432e-02,3.487720e-06,3.487720e-03,14406.0134,0.100251,14406.0134
1.610000e-02,5.055808e-02,3.509512e-06,3.509512e-03,14405.9636,0.100254,14405.9636
1.620000e-02,5.087183e-02,3.531304e-06,3.531304e-03,14405.9134,0.100257,14405.9134
1.630000e-02,5.118558e-02,3.553095e-06,3.553095e-03,14405.8630,0.100260,14405.8630
1.640000e-02,5.149933e-02,3.574887e-06,3.574887e-03,14405.8122,0.100263,14405.8122
1.650000e-02,5.181307e-02,3.596678e-06,3.596678e-03,14405.7611,0.100267,14405.7611
1.660000e-02,5.212680e-02,3.618469e-06,3.618469e-03,14405.7097,0.100270,14405.7097
1.670000e-02,5.244053e-02,3.640260e-06,3.640260e-03,14405.6580,0.100273,14405.6580
1.680000e-02,5.275426e-02,3.662051e-06,3.662051e-03,14405.6060,0.100276,14405.6060
1.690000e-02,5.306798e-02,3.683842e-06,3.683842e-03,14405.5537,0.100280,14405.5537
1.700000e-02,5.338169e-02,3.705633e-06,3.705633e-03,14405.5010,0.100283,14405.5010
1.710000e-02,5.369540e-02,3.727423e-06,3.727423e-03,14405.4481,0.100286,14405.4481
1.720000e-02,5.400910e-02,3.749214e-06,3.749214e-03,14405.3948,0.100290,14405.3948
1.730000e-02,5.432280e-02,3.771004e-06,3.771004e-03,14405.3413,0.100293,14405.3413
1.740000e-02,5.463649e-02,3.792794e-06,3.792794e-03,14405.2874,0.100296,14405.2874
1.750000e-02,5.495018e-02,3.814584e-06,3.814584e-03,14405.2332,0.100300,14405.2332
1.760000e-02,5.526386e-02,3.836374e-06,3.836374e-03,14405.1787,0.100303,14405.1787
1.770000e-02,5.557754e-02,3.858164e-06,3.858164e-03,14405.1239,0.100307,14405.1239
1.780000e-02,5.589121e-02,3.879953e-06,3.879953e-03,14405.0688,0.100310,14405.0688
1.790000e-02,5.620487e-02,3.901743e-06,3.901743e-03,14405.0133,0.100314,14405.0133
1.800000e-02,5.651853e-02,3.923532e-06,3.923532e-03,14404.9576,0.100317,14404.9576
1.810000e-02,5.683219e-02,3.945321e-06,3.945321e-03,14404.9015,0.100321,14404.9015
1.820000e-02,5.714584e-02,3.967111e-06,3.967111e-03,14404.8452,0.100324,14404.8452
1.830000e-02,5.745948e-02,3.988900e-06,3.988900e-03,14404.7885,0.100328,14404.7885
1.840000e-02,5.777312e-02,4.010688e-06,4.010688e-03,14404.7315,0.100331,14404.7315
1.850000e-02,5.808675e-02,4.032477e-06,4.032477e-03,14404.6743,0.100335,14404.6743
1.860000e-02,5.840038e-02,4.054266e-06,4.054266e-03,14404.6167,0.100339,14404.6167
1.870000e-02,5.871400e-02,4.076054e-06,4.076054e-03,14404.5587,0.100342,14404.5587
1.880000e-02,5.902761e-02,4.097842e-06,4.097842e-03,14404.5005,0.100346,14404.5005
1.890000e-02,5.934122e-02,4.119630e-06,4.119630e-03,14404.4420,0.100350,14404.4420
1.900000e-02,5.965482e-02,4.141418e-06,4.141418e-03,14404.3832,0.100353,14404.3832
1.910000e-02,5.996842e-02,4.163206e-06,4.163206e-03,14404.3240,0.100357,14404.3240
1.920000e-02,6.028201e-02,4.184994e-06,4.184994e-03,14404.2645,0.100361,14404.2645
1.930000e-02,6.059559e-02,4.206782e-06,4.206782e-03,14404.2048,0.100364,14404.2048
1.940000e-02,6.090917e-02,4.228569e-06,4.228569e-03,14404.1447,0.100368,14404.1447
1.950000e-02,6.122275e-02,4.250356e-06,4.250356e-03,14404.0843,0.100372,14404.0843
1.960000e-02,6.153631e-02,4.272143e-06,4.272143e-03,14404.0236,0.100376,14404.0236
1.970000e-02,6.184987e-02,4.293930e-06,4.293930e-03,14403.9626,0.100380,14403.9626
1.980000e-02,6.216343e-02,4.315717e-06,4.315717e-03,14403.9013,0.100384,14403.9013
1.990000e-02,6.247698e-02,4.337504e-06,4.337504e-03,14403.8396,0.100387,14403.8396
2.000000e-02,6.279052e-02,4.359290e-06,4.359290e-03,14403.7777,0.100391,14403.7777
2.010000e-02,6.310406e-02,4.381077e-06,4.381077e-03,14403.7154,0.100395,14403.7154
2.020000e-02,6.341759e-02,4.402863e-06,4.402863e-03,14403.6529,0.100399,14403.6529
2.030000e-02,6.373111e-02,4.424649e-06,4.424649e-03,14403.5900,0.100403,14403.5900
2.040000e-02,6.404463e-02,4.446435e-06,4.446435e-03,14403.5268,0.100407,14403.5268
2.050000e-02,6.435814e-02,4.468221e-06,4.468221e-03,14403.4633,0.100411,14403.4633
2.060000e-02,6.467164e-02,4.490006e-06,4.490006e-03,14403.3995,0.100415,14403.3995
2.070000e-02,6.498514e-02,4.511792e-06,4.511792e-03,14403.3354,0.100419,14403.3354
2.080000e-02,6.529863e-02,4.533577e-06,4.533577e-03,14403.2710,0.100423,14403.2710
2.090000e-02,6.561212e-02,4.555362e-06,4.555362e-03,14403.2063,0.100427,14403.2063
2.100000e-02,6.592560e-02,4.577147e-06,4.577147e-03,14403.1412,0.100431,14403.1412
2.110000e-02,6.623907e-02,4.598932e-06,4.598932e-03,14403.0759,0.100435,14403.0759
2.120000e-02,6.655254e-02,4.620717e-06,4.620717e-03,14403.0102,0.100440,14403.0102
2.130000e-02,6.686600e-02,4.642501e-06,4.642501e-03,14402.9442,0.100444,14402.9442
2.140000e-02,6.717945e-02,4.664286e-06,4.664286e-03,14402.8779,0.100448,14402.8779
2.150000e-02,6.749290e-02,4.686070e-06,4.686070e-03,14402.8113,0.100452,14402.8113
2.160000e-02,6.780633e-02,4.707854e-06,4.707854e-03,14402.7444,0.100456,14402.7444
2.170000e-02,6.811977e-02,4.729638e-06,4.729638e-03,14402.6772,0.100461,14402.6772
2.180000e-02,6.843319e-02,4.751422e-06,4.751422e-03,14402.6097,0.100465,14402.6097
2.190000e-02,6.874661e-02,4.773205e-06,4.773205e-03,14402.5418,0.100469,14402.5418
2.200000e-02,6.906003e-02,4.794989e-06,4.794989e-03,14402.4737,0.100473,14402.4737
2.210000e-02,6.937343e-02,4.816772e-06,4.816772e-03,14402.4052,0.100478,14402.4052
2.220000e-02,6.968683e-02,4.838555e-06,4.838555e-03,14402.3365,0.100482,14402.3365
2.230000e-02,7.000022e-02,4.860338e-06,4.860338e-03,14402.2674,0.100486,14402.2674
2.240000e-02,7.031361e-02,4.882121e-06,4.882121e-03,14402.1980,0.100491,14402.1980
2.250000e-02,7.062699e-02,4.903903e-06,4.903903e-03,14402.1283,0.100495,14402.1283
