voltage_V,current_mA
0.270836,0.018951
0.271138,0.018973
0.271440,0.018994
0.271743,0.019016
0.272045,0.019037
0.272347,0.019059
0.272650,0.019080
0.272952,0.019102
0.273254,0.019123
0.273556,0.019145
0.273859,0.019166
0.274161,0.019188
0.274463,0.019209
0.274765,0.019231
0.275067,0.019252
0.275369,0.019274
0.275671,0.019295
0.275973,0.019317
0.276275,0.019339
0.276577,0.019360
0.276879,0.019382
0.277181,0.019403
0.277482,0.019425
0.277784,0.019446
0.278086,0.019468
0.278388,0.019489
0.278689,0.019511
0.278991,0.019532
0.279293,0.019554
0.279594,0.019575
0.279896,0.019597
0.280198,0.019618
0.280499,0.019640
0.280801,0.019661
0.281102,0.019683
0.281404,0.019704
0.281705,0.019726
0.282007,0.019747
0.282308,0.019769
0.282609,0.019790
0.282911,0.019812
0.283212,0.019833
0.283513,0.019855
0.283815,0.019876
0.284116,0.019898
0.284417,0.019919
0.284718,0.019941
0.285019,0.019962
0.285320,0.019984
0.285621,0.020005
0.285923,0.020027
0.286224,0.020048
0.286525,0.020070
0.286826,0.020091
0.287126,0.020113
0.287427,0.020134
0.287728,0.020156
0.288029,0.020177
0.288330,0.020199
0.288631,0.020220
0.288932,0.020242
0.289232,0.020263
0.289533,0.020285
0.289834,0.020306
0.290134,0.020327
0.290435,0.020349
0.290736,0.020370
0.291036,0.020392
0.291337,0.020413
0.291637,0.020435
0.291938,0.020456
0.292238,0.020478
0.292539,0.020499
0.292839,0.020521
0.293139,0.020542
0.293440,0.020564
0.293740,0.020585
0.294040,0.020607
0.294341,0.020628
0.294641,0.020650
0.294941,0.020671
0.295241,0.020693
0.295541,0.020714
0.295841,0.020736
0.296142,0.020757
0.296442,0.020779
0.296742,0.020800
0.297042,0.020821
0.297342,0.020843
0.297641,0.020864
0.297941,0.020886
0.298241,0.020907
0.298541,0.020929
0.298841,0.020950
0.299141,0.020972
0.299440,0.020993
0.299740,0.021015
0.300040,0.021036
0.300340,0.021058
0.300639,0.021079
0.300939,0.021100
0.301238,0.021122
0.301538,0.021143
0.301837,0.021165
0.302137,0.021186
0.302436,0.021208
0.302736,0.021229
0.303035,0.021251
0.303335,0.021272
0.303634,0.021294
0.303933,0.021315
0.304233,0.021337
0.304532,0.021358
0.304831,0.021379
0.305130,0.021401
0.305429,0.021422
0.305729,0.021444
0.306028,0.021465
0.306327,0.021487
0.306626,0.021508
0.306925,0.021530
0.307224,0.021551
0.307523,0.021572
0.307822,0.021594
0.308121,0.021615
0.308419,0.021637
0.308718,0.021658
0.309017,0.021680
0.309316,0.021701
0.309614,0.021723
0.309913,0.021744
0.310212,0.021765
0.310511,0.021787
0.310809,0.021808
0.311108,0.021830
0.311406,0.021851
0.311705,0.021873
0.312003,0.021894
0.312302,0.021915
0.312600,0.021937
0.312899,0.021958
0.313197,0.021980
0.313495,0.022001
0.313794,0.022023
0.314092,0.022044
0.314390,0.022066
0.314688,0.022087
0.314987,0.022108
0.315285,0.022130
0.315583,0.022151
0.315881,0.022173
0.316179,0.022194
0.316477,0.022215
0.316775,0.022237
0.317073,0.022258
0.317371,0.022280
0.317669,0.022301
0.317967,0.022323
0.318264,0.022344
0.318562,0.022365
0.318860,0.022387
0.319158,0.022408
0.319456,0.022430
0.319753,0.022451
0.320051,0.022473
0.320348,0.022494
0.320646,0.022515
0.320944,0.022537
0.321241,0.022558
0.321539,0.022580
0.321836,0.022601
0.322134,0.022622
0.322431,0.022644
0.322728,0.022665
0.323026,0.022687
0.323323,0.022708
0.323620,0.022729
0.323917,0.022751
0.324215,0.022772
0.324512,0.022794
0.324809,0.022815
0.325106,0.022836
0.325403,0.022858
0.325700,0.022879
0.325997,0.022901
0.326294,0.022922
0.326591,0.022944
0.326888,0.022965
0.327185,0.022986
0.327482,0.023008
0.327779,0.023029
0.328075,0.023050
0.328372,0.023072
0.328669,0.023093
0.328966,0.023115
0.329262,0.023136
0.329559,0.023157
0.329855,0.023179
0.330152,0.023200
0.330449,0.023222
0.330745,0.023243
0.331041,0.023264
0.331338,0.023286
0.331634,0.023307
0.331931,0.023329
0.332227,0.023350
0.332523,0.023371
0.332820,0.023393
0.333116,0.023414
0.333412,0.023436
0.333708,0.023457
0.334004,0.023478
0.334300,0.023500
0.334596,0.023521
0.334892,0.023542
0.335188,0.023564
0.335484,0.023585
0.335780,0.023607
0.336076,0.023628
0.336372,0.023649
0.336668,0.023671
0.336964,0.023692
0.337260,0.023713
0.337555,0.023735
0.337851,0.023756
0.338147,0.023778
0.338442,0.023799
0.338738,0.023820
0.339033,0.023842
0.339329,0.023863
0.339625,0.023884
0.339920,0.023906
0.340215,0.023927
0.340511,0.023948
0.340806,0.023970
0.341102,0.023991
0.341397,0.024013
0.341692,0.024034
0.341987,0.024055
0.342283,0.024077
0.342578,0.024098
0.342873,0.024119
0.343168,0.024141
0.343463,0.024162
0.343758,0.024183
0.344053,0.024205
0.344348,0.024226
0.344643,0.024248
0.344938,0.024269
0.345233,0.024290
0.345528,0.024312
0.345822,0.024333
0.346117,0.024354
0.346412,0.024376
0.346706,0.024397
0.347001,0.024418
0.347296,0.024440
0.347590,0.024461
0.347885,0.024482
0.348179,0.024504
0.348474,0.024525
0.348768,0.024546
0.349063,0.024568
0.349357,0.024589
0.349651,0.024610
0.349946,0.024632
0.350240,0.024653
0.350534,0.024674
0.350829,0.024696
0.351123,0.024717
0.351417,0.024738
0.351711,0.024760
0.352005,0.024781
0.352299,0.024802
0.352593,0.024824
0.352887,0.024845
0.353181,0.024866
0.353475,0.024888
0.353769,0.024909
0.354063,0.024930
0.354356,0.024952
0.354650,0.024973
0.354944,0.024994
0.355237,0.025016
0.355531,0.025037
0.355825,0.025058
0.356118,0.025080
0.356412,0.025101
0.356705,0.025122
0.356999,0.025144
0.357292,0.025165
0.357586,0.025186
0.357879,0.025208
0.358172,0.025229
0.358466,0.025250
0.358759,0.025272
0.359052,0.025293
0.359345,0.025314
0.359639,0.025336
0.359932,0.025357
0.360225,0.025378
0.360518,0.025400
0.360811,0.025421
0.361104,0.025442
0.361397,0.025463
0.361690,0.025485
0.361983,0.025506
0.362275,0.025527
0.362568,0.025549
0.362861,0.025570
0.363154,0.025591
0.363446,0.025613
0.363739,0.025634
0.364032,0.025655
0.364324,0.025677
0.364617,0.025698
0.364909,0.025719
0.365202,0.025740
0.365494,0.025762
0.365787,0.025783
0.366079,0.025804
0.366371,0.025826
0.366664,0.025847
0.366956,0.025868
0.367248,0.025890
0.367540,0.025911
0.367832,0.025932
0.368125,0.025953
