t_s,V_in_V,I_sim_A,x_sim,R_sim_ohm,G_sim_S,P_sim_W
0.346006,0.885240,7.144510e-05,0.227085,12389.35,8.071446e-05,6.324604e-05
0.348006,0.888145,7.181155e-05,0.228517,12366.57,8.086314e-05,6.377906e-05
0.350006,0.891015,7.217720e-05,0.229957,12343.68,8.101314e-05,6.431096e-05
0.352006,0.893850,7.254204e-05,0.231405,12320.66,8.116446e-05,6.484168e-05
0.354006,0.896649,7.290606e-05,0.232860,12297.53,8.131712e-05,6.537116e-05
0.356006,0.899413,7.326926e-05,0.234321,12274.29,8.147111e-05,6.589935e-05
0.358006,0.902142,7.363163e-05,0.235791,12250.93,8.162646e-05,6.642619e-05
0.360006,0.904835,7.399317e-05,0.237267,12227.45,8.178318e-05,6.695161e-05
0.362006,0.907492,7.435387e-05,0.238751,12203.86,8.194126e-05,6.747557e-05
0.364006,0.910114,7.471373e-05,0.240242,12180.16,8.210074e-05,6.799800e-05
0.366006,0.912699,7.507275e-05,0.241740,12156.34,8.226160e-05,6.851885e-05
0.368006,0.915249,7.543091e-05,0.243245,12132.41,8.242388e-05,6.903806e-05
0.370006,0.917762,7.578821e-05,0.244757,12108.36,8.258757e-05,6.955557e-05
0.372006,0.920239,7.614466e-05,0.246277,12084.20,8.275269e-05,7.007132e-05
0.374006,0.922680,7.650024e-05,0.247803,12059.93,8.291924e-05,7.058526e-05
0.376006,0.925085,7.685494e-05,0.249337,12035.54,8.308725e-05,7.109733e-05
0.378006,0.927453,7.720877e-05,0.250878,12011.04,8.325673e-05,7.160747e-05
0.380006,0.929784,7.756172e-05,0.252426,11986.43,8.342768e-05,7.211563e-05
0.382006,0.932078,7.791379e-05,0.253981,11961.71,8.360011e-05,7.262175e-05
0.384006,0.934336,7.826496e-05,0.255543,11936.87,8.377405e-05,7.312577e-05
0.386006,0.936557,7.861523e-05,0.257112,11911.92,8.394949e-05,7.362764e-05
0.388006,0.938741,7.896460e-05,0.258688,11886.87,8.412646e-05,7.412730e-05
0.390007,0.940888,7.931307e-05,0.260271,11861.70,8.430496e-05,7.462469e-05
0.392007,0.942997,7.966063e-05,0.261861,11836.42,8.448502e-05,7.511976e-05
0.394007,0.945070,8.000726e-05,0.263457,11811.03,8.466663e-05,7.561245e-05
0.396007,0.947105,8.035298e-05,0.265061,11785.53,8.484983e-05,7.610271e-05
0.398007,0.949103,8.069777e-05,0.266672,11759.92,8.503461e-05,7.659047e-05
0.400007,0.951063,8.104163e-05,0.268289,11734.20,8.522099e-05,7.707569e-05
