t_s,V_signal_V,I_out_A,x_state
0.010850,0.668617,7.145837e-07,0.064893
0.010900,0.671577,7.187543e-07,0.066221
0.010950,0.674535,7.229796e-07,0.067608
0.011000,0.677492,7.272607e-07,0.069053
0.011050,0.680447,7.315986e-07,0.070556
0.011100,0.683401,7.359945e-07,0.072118
0.011150,0.686352,7.404498e-07,0.073738
0.011200,0.689302,7.449656e-07,0.075416
0.011250,0.692251,7.495432e-07,0.077154
0.011300,0.695197,7.541840e-07,0.078950
0.011350,0.698142,7.588893e-07,0.080805
0.011400,0.701085,7.636604e-07,0.082720
0.011450,0.704027,7.684990e-07,0.084693
0.011500,0.706967,7.734063e-07,0.086727
0.011550,0.709905,7.783840e-07,0.088820
0.011600,0.712841,7.834336e-07,0.090972
0.011650,0.715775,7.885567e-07,0.093185
0.011700,0.718708,7.937550e-07,0.095457
0.011750,0.721639,7.990302e-07,0.097790
0.011800,0.724568,8.043840e-07,0.100183
0.011850,0.727495,8.098183e-07,0.102637
0.011900,0.730421,8.153349e-07,0.105151
0.011950,0.733345,8.209357e-07,0.107726
0.012000,0.736267,8.266228e-07,0.110361
0.012050,0.739187,8.323981e-07,0.113058
0.012100,0.742105,8.382639e-07,0.115816
0.012150,0.745022,8.442222e-07,0.118635
0.012200,0.747936,8.502754e-07,0.121516
0.012250,0.750849,8.564257e-07,0.124458
0.012300,0.753760,8.626755e-07,0.127461
0.012350,0.756669,8.690273e-07,0.130527
0.012400,0.759576,8.754837e-07,0.133655
0.012450,0.762482,8.820473e-07,0.136845
0.012500,0.765385,8.887208e-07,0.140097
0.012550,0.768287,8.955071e-07,0.143411
0.012600,0.771186,9.024091e-07,0.146788
0.012650,0.774084,9.094297e-07,0.150228
0.012700,0.776980,9.165722e-07,0.153731
0.012750,0.779874,9.238398e-07,0.157296
0.012800,0.782766,9.312357e-07,0.160925
0.012850,0.785656,9.387635e-07,0.164617
0.012900,0.788544,9.464268e-07,0.168372
0.012950,0.791430,9.542293e-07,0.172191
0.013000,0.794315,9.621749e-07,0.176074
0.013050,0.797197,9.702675e-07,0.180020
0.013100,0.800077,9.785114e-07,0.184030
0.013150,0.802955,9.869108e-07,0.188105
0.013200,0.805832,9.954702e-07,0.192243
0.013250,0.808706,1.004194e-06,0.196446
0.013300,0.811579,1.013088e-06,0.200714
0.013350,0.814449,1.022147e-06,0.205036
0.013400,0.817317,1.031361e-06,0.209403
0.013450,0.820184,1.040734e-06,0.213815
0.013500,0.823048,1.050268e-06,0.218272
0.013550,0.825910,1.059968e-06,0.222773
0.013600,0.828771,1.069837e-06,0.227318
0.013650,0.831629,1.079879e-06,0.231905
0.013700,0.834485,1.090098e-06,0.236535
